 *********************************************************************
             E=    -0.500 theoretical n=     1.000
 *********************************************************************
              r   wave func(r)
      0.544E+01      0.132E-02     -0.107E-02
      0.546E+01      0.130E-02     -0.106E-02
      0.547E+01      0.129E-02     -0.105E-02
      0.548E+01      0.128E-02     -0.104E-02
      0.549E+01      0.126E-02     -0.103E-02
      0.551E+01      0.125E-02     -0.102E-02
      0.552E+01      0.124E-02     -0.101E-02
      0.553E+01      0.122E-02     -0.100E-02
      0.554E+01      0.121E-02     -0.994E-03
      0.556E+01      0.120E-02     -0.984E-03
      0.557E+01      0.119E-02     -0.974E-03
      0.558E+01      0.118E-02     -0.965E-03
      0.559E+01      0.116E-02     -0.956E-03
      0.561E+01      0.115E-02     -0.946E-03
      0.562E+01      0.114E-02     -0.937E-03
      0.563E+01      0.113E-02     -0.928E-03
      0.564E+01      0.112E-02     -0.919E-03
      0.566E+01      0.111E-02     -0.910E-03
      0.567E+01      0.109E-02     -0.901E-03
      0.568E+01      0.108E-02     -0.892E-03
      0.569E+01      0.107E-02     -0.883E-03
      0.571E+01      0.106E-02     -0.875E-03
      0.572E+01      0.105E-02     -0.866E-03
      0.573E+01      0.104E-02     -0.858E-03
      0.574E+01      0.103E-02     -0.849E-03
      0.576E+01      0.102E-02     -0.841E-03
      0.577E+01      0.101E-02     -0.833E-03
      0.578E+01      0.997E-03     -0.824E-03
      0.579E+01      0.987E-03     -0.816E-03
      0.581E+01      0.976E-03     -0.808E-03
      0.582E+01      0.966E-03     -0.800E-03
      0.583E+01      0.956E-03     -0.792E-03
      0.584E+01      0.946E-03     -0.785E-03
      0.586E+01      0.937E-03     -0.777E-03
      0.587E+01      0.927E-03     -0.769E-03
      0.588E+01      0.917E-03     -0.761E-03
      0.589E+01      0.908E-03     -0.754E-03
      0.591E+01      0.899E-03     -0.746E-03
      0.592E+01      0.889E-03     -0.739E-03
      0.593E+01      0.880E-03     -0.732E-03
      0.594E+01      0.871E-03     -0.724E-03
      0.596E+01      0.862E-03     -0.717E-03
      0.597E+01      0.853E-03     -0.710E-03
      0.598E+01      0.844E-03     -0.703E-03
      0.599E+01      0.835E-03     -0.696E-03
      0.601E+01      0.827E-03     -0.689E-03
      0.602E+01      0.818E-03     -0.682E-03
      0.603E+01      0.810E-03     -0.675E-03
      0.604E+01      0.801E-03     -0.669E-03
      0.606E+01      0.793E-03     -0.662E-03
      0.607E+01      0.785E-03     -0.655E-03
      0.608E+01      0.777E-03     -0.649E-03
      0.609E+01      0.768E-03     -0.642E-03
      0.611E+01      0.760E-03     -0.636E-03
      0.612E+01      0.753E-03     -0.630E-03
      0.613E+01      0.745E-03     -0.623E-03
      0.614E+01      0.737E-03     -0.617E-03
